,open,high,low,close,volume,pre_close,p_change,date,date_week,key,atr21,atr14
2017-08-25,354.24,355.69,347.3,348.05,3483956,352.93,-1.383,20170825,4,154,13.864128535784552,13.394837642058283
2017-08-28,347.28,347.35,339.72,345.66,3763956,348.05,-0.687,20170828,0,155,13.804662284508993,13.37019262311221
2017-08-29,339.48,349.05,338.75,347.36,4073675,345.66,0.49200000000000005,20170829,1,156,13.486056521215607,12.960833606625656
2017-08-30,349.67,353.47,347.0,353.18,3412943,347.36,1.675,20170830,2,157,12.970051234120884,12.274055792304788
2017-08-31,353.55,358.44,352.82,355.9,4072795,353.18,0.77,20170831,3,158,12.798228349610604,12.114848353309892
2017-09-01,356.12,357.59,353.69,355.4,3049546,355.9,-0.14,20170901,4,159,12.035661954270667,11.08753523941826
2017-09-05,353.8,355.49,345.89,349.59,3848382,355.4,-1.635,20170905,1,160,11.851510827620707,10.943863874148322
2017-09-06,349.5,350.97900000000004,341.56,344.53,4091351,349.59,-1.4469999999999998,20170906,2,161,12.032282606169662,11.330015357628238
2017-09-07,345.98,352.48,343.45,350.61,4239213,344.53,1.765,20170907,3,162,11.759347774919597,11.023346643255081
2017-09-08,348.99,349.78,342.3,343.4,3263508,350.61,-2.056,20170908,4,163,11.370316095691441,10.550900424124054
2017-09-11,351.39,363.71,350.33,363.67,7667055,343.4,5.903,20170911,0,164,11.553014659482743,10.928113700928511
2017-09-12,364.02,368.38,360.71,362.65,5972907,363.67,-0.28,20170912,1,165,12.773649854649063,12.801698540895094
2017-09-13,363.82,368.07,359.59,366.23,4172033,362.65,0.987,20170913,2,166,12.383318001943918,12.225472068751657
2017-09-14,364.33,377.9,362.69,377.4,7202524,366.23,3.05,20170914,3,167,12.643925485287138,12.628742459599374
2017-09-15,374.53,379.96,372.84,379.93,5420496,377.4,0.67,20170915,4,168,12.742659542058576,12.77557679832405
2017-09-18,380.25,389.57,377.81,384.64,7187980,379.93,1.24,20170918,0,169,12.690599578906093,12.694833225211974
2017-09-19,380.0,382.0,373.6,374.86,6451886,384.64,-2.543,20170919,1,170,12.300545039150927,12.1221887951702
2017-09-20,373.0,378.25,371.07,373.91,4910883,374.86,-0.253,20170920,2,171,12.415950044355363,12.31523028915146
2017-09-21,374.82,376.68,364.67,366.59,4618190,373.91,-1.9580000000000002,20170921,3,172,12.379045492320826,12.274532917263876
2017-09-22,366.49,369.9,350.88,351.09,8145541,366.59,-4.228,20170922,4,173,13.347314144695153,13.708595194984058
2017-09-25,353.15,357.47,342.88,344.99,7587395,351.09,-1.7369999999999999,20170925,0,174,14.289376548925102,15.042115835670602
2017-09-26,350.89,351.19,341.01,345.2,317231,344.99,0.061,20170926,1,175,13.91579684328289,14.393833724240379
